title,text,label
"Government passes new education law","The government passed a new law to improve education across the country.",1
"Aliens invade New York","Aliens were seen landing in New York last night causing chaos.",0
"Stock market rises","Stock market increased by 5% today due to tech industry growth.",1
"Magic cure discovered","Scientists claim a magic cure can stop aging overnight.",0
"Local sports team wins championship","The city celebrates as the local team wins the national championship.",1
"Man claims to time travel","A man claims he has invented a time machine that works perfectly.",0
"New technology boosts productivity","A new AI tool has increased productivity in companies worldwide.",1
"Secret potion makes you invisible","A secret potion was discovered that makes a person invisible.",0
"Health ministry issues warning","Health ministry issues warning about rising flu cases.",1
"Ghost spotted in museum","Visitors report seeing a ghost in the city museum at night.",0
"Scientists develop renewable energy","New renewable energy source could replace fossil fuels.",1
"Miracle diet pill","A pill promises to make you lose 20kg in one week without exercise.",0
"City hosts cultural festival","Thousands attend the annual cultural festival in downtown.",1
"Man turns water into wine","A man claims he can turn water into wine using secret method.",0
"New vaccination program launched","Government launches new vaccination program for children.",1
"Dragon spotted in forest","A dragon was reportedly spotted flying over a forest.",0
"Tech conference attracts innovators","International tech conference attracts top innovators and startups.",1
"Unicorns found in mountains","Hikers claim they saw real unicorns in remote mountains.",0
"New bridge opens in city","A new bridge opens to improve traffic flow in the city center.",1
"Man communicates with animals","A man claims he can communicate with animals telepathically.",0
